date,open,high,low,close,volume,value,symbol
01-01-2000,-,-,-,1000,-,-,NIFTY BANK
03-01-2000,-,-,-,1054.81,-,-,NIFTY BANK
04-01-2000,-,-,-,1092.08,-,-,NIFTY BANK
05-01-2000,-,-,-,1055.99,-,-,NIFTY BANK
06-01-2000,-,-,-,1086.67,-,-,NIFTY BANK
07-01-2000,-,-,-,1126.99,-,-,NIFTY BANK
10-01-2000,-,-,-,1088.97,-,-,NIFTY BANK
11-01-2000,-,-,-,1033.55,-,-,NIFTY BANK
12-01-2000,-,-,-,1036.63,-,-,NIFTY BANK
13-01-2000,-,-,-,1034.19,-,-,NIFTY BANK
14-01-2000,-,-,-,1023.41,-,-,NIFTY BANK
17-01-2000,-,-,-,1035.99,-,-,NIFTY BANK
18-01-2000,-,-,-,1021.69,-,-,NIFTY BANK
19-01-2000,-,-,-,1057.89,-,-,NIFTY BANK
20-01-2000,-,-,-,1046.31,-,-,NIFTY BANK
21-01-2000,-,-,-,1058.91,-,-,NIFTY BANK
24-01-2000,-,-,-,1049.82,-,-,NIFTY BANK
25-01-2000,-,-,-,1061.6,-,-,NIFTY BANK
27-01-2000,-,-,-,1096.45,-,-,NIFTY BANK
28-01-2000,-,-,-,1153.35,-,-,NIFTY BANK
31-01-2000,-,-,-,1148.89,-,-,NIFTY BANK
01-02-2000,-,-,-,1175.15,-,-,NIFTY BANK
02-02-2000,-,-,-,1186.97,-,-,NIFTY BANK
03-02-2000,-,-,-,1185.11,-,-,NIFTY BANK
04-02-2000,-,-,-,1172.21,-,-,NIFTY BANK
07-02-2000,-,-,-,1158.08,-,-,NIFTY BANK
08-02-2000,-,-,-,1150.2,-,-,NIFTY BANK
09-02-2000,-,-,-,1154.25,-,-,NIFTY BANK
10-02-2000,-,-,-,1181.48,-,-,NIFTY BANK
11-02-2000,-,-,-,1156.67,-,-,NIFTY BANK
14-02-2000,-,-,-,1212.66,-,-,NIFTY BANK
15-02-2000,-,-,-,1148.1,-,-,NIFTY BANK
16-02-2000,-,-,-,1167.64,-,-,NIFTY BANK
17-02-2000,-,-,-,1178.51,-,-,NIFTY BANK
18-02-2000,-,-,-,1151.56,-,-,NIFTY BANK
21-02-2000,-,-,-,1142.8,-,-,NIFTY BANK
22-02-2000,-,-,-,1091.48,-,-,NIFTY BANK
23-02-2000,-,-,-,1092.85,-,-,NIFTY BANK
24-02-2000,-,-,-,1103.9,-,-,NIFTY BANK
25-02-2000,-,-,-,1109.38,-,-,NIFTY BANK
28-02-2000,-,-,-,1141.18,-,-,NIFTY BANK
29-02-2000,-,-,-,1075.15,-,-,NIFTY BANK
01-03-2000,-,-,-,1139.88,-,-,NIFTY BANK
02-03-2000,-,-,-,1141.08,-,-,NIFTY BANK
03-03-2000,-,-,-,1124.7,-,-,NIFTY BANK
06-03-2000,-,-,-,1126.59,-,-,NIFTY BANK
07-03-2000,-,-,-,1104.42,-,-,NIFTY BANK
08-03-2000,-,-,-,1057.46,-,-,NIFTY BANK
09-03-2000,-,-,-,1004.31,-,-,NIFTY BANK
10-03-2000,-,-,-,987.88,-,-,NIFTY BANK
13-03-2000,-,-,-,978.64,-,-,NIFTY BANK
14-03-2000,-,-,-,996.36,-,-,NIFTY BANK
15-03-2000,-,-,-,1027.62,-,-,NIFTY BANK
16-03-2000,-,-,-,1055.36,-,-,NIFTY BANK
21-03-2000,-,-,-,1074.75,-,-,NIFTY BANK
22-03-2000,-,-,-,1088.21,-,-,NIFTY BANK
23-03-2000,-,-,-,1086.02,-,-,NIFTY BANK
24-03-2000,-,-,-,1086.32,-,-,NIFTY BANK
27-03-2000,-,-,-,1071.09,-,-,NIFTY BANK
28-03-2000,-,-,-,1071.17,-,-,NIFTY BANK
29-03-2000,-,-,-,1070.13,-,-,NIFTY BANK
30-03-2000,-,-,-,1101.06,-,-,NIFTY BANK
31-03-2000,-,-,-,1106.83,-,-,NIFTY BANK
03-04-2000,-,-,-,1110.14,-,-,NIFTY BANK
04-04-2000,-,-,-,1026.65,-,-,NIFTY BANK
05-04-2000,-,-,-,1000.84,-,-,NIFTY BANK
06-04-2000,-,-,-,989.2,-,-,NIFTY BANK
07-04-2000,-,-,-,1048.75,-,-,NIFTY BANK
10-04-2000,-,-,-,1087.71,-,-,NIFTY BANK
11-04-2000,-,-,-,1105.19,-,-,NIFTY BANK
12-04-2000,-,-,-,1097.08,-,-,NIFTY BANK
13-04-2000,-,-,-,1056.89,-,-,NIFTY BANK
17-04-2000,-,-,-,1003.89,-,-,NIFTY BANK
18-04-2000,-,-,-,1031.28,-,-,NIFTY BANK
19-04-2000,-,-,-,1029.46,-,-,NIFTY BANK
20-04-2000,-,-,-,1026.09,-,-,NIFTY BANK
24-04-2000,-,-,-,1009.29,-,-,NIFTY BANK
25-04-2000,-,-,-,1015.7,-,-,NIFTY BANK
26-04-2000,-,-,-,1067.57,-,-,NIFTY BANK
27-04-2000,-,-,-,1050.72,-,-,NIFTY BANK
28-04-2000,-,-,-,1056.2,-,-,NIFTY BANK
02-05-2000,-,-,-,1021.98,-,-,NIFTY BANK
03-05-2000,-,-,-,1020.9,-,-,NIFTY BANK
04-05-2000,-,-,-,1030.91,-,-,NIFTY BANK
05-05-2000,-,-,-,1040.91,-,-,NIFTY BANK
08-05-2000,-,-,-,1031.09,-,-,NIFTY BANK
09-05-2000,-,-,-,1032.5,-,-,NIFTY BANK
10-05-2000,-,-,-,1027.99,-,-,NIFTY BANK
11-05-2000,-,-,-,1012.45,-,-,NIFTY BANK
12-05-2000,-,-,-,995.67,-,-,NIFTY BANK
15-05-2000,-,-,-,993.35,-,-,NIFTY BANK
16-05-2000,-,-,-,989.61,-,-,NIFTY BANK
17-05-2000,-,-,-,999.4,-,-,NIFTY BANK
18-05-2000,-,-,-,984.62,-,-,NIFTY BANK
19-05-2000,-,-,-,988.26,-,-,NIFTY BANK
22-05-2000,-,-,-,966.01,-,-,NIFTY BANK
23-05-2000,-,-,-,948.48,-,-,NIFTY BANK
24-05-2000,-,-,-,950.96,-,-,NIFTY BANK
25-05-2000,-,-,-,950.97,-,-,NIFTY BANK
26-05-2000,-,-,-,953.86,-,-,NIFTY BANK
29-05-2000,-,-,-,966.83,-,-,NIFTY BANK
30-05-2000,-,-,-,986.64,-,-,NIFTY BANK
31-05-2000,-,-,-,1001.24,-,-,NIFTY BANK
01-06-2000,-,-,-,985.93,-,-,NIFTY BANK
02-06-2000,-,-,-,1007.95,-,-,NIFTY BANK
05-06-2000,-,-,-,1034.98,-,-,NIFTY BANK
06-06-2000,-,-,-,1034.29,-,-,NIFTY BANK
07-06-2000,-,-,-,1029.53,-,-,NIFTY BANK
08-06-2000,-,-,-,1064.58,-,-,NIFTY BANK
09-06-2000,-,-,-,1070.22,-,-,NIFTY BANK
12-06-2000,-,-,-,1052.44,-,-,NIFTY BANK
13-06-2000,-,-,-,1059.56,-,-,NIFTY BANK
14-06-2000,-,-,-,1066.28,-,-,NIFTY BANK
15-06-2000,-,-,-,1071.61,-,-,NIFTY BANK
16-06-2000,-,-,-,1098,-,-,NIFTY BANK
19-06-2000,-,-,-,1087.05,-,-,NIFTY BANK
20-06-2000,-,-,-,1110.22,-,-,NIFTY BANK
21-06-2000,-,-,-,1090.32,-,-,NIFTY BANK
22-06-2000,-,-,-,1106.12,-,-,NIFTY BANK
23-06-2000,-,-,-,1120.48,-,-,NIFTY BANK
26-06-2000,-,-,-,1084.38,-,-,NIFTY BANK
27-06-2000,-,-,-,1083.34,-,-,NIFTY BANK
28-06-2000,-,-,-,1085.73,-,-,NIFTY BANK
29-06-2000,-,-,-,1093.55,-,-,NIFTY BANK
30-06-2000,-,-,-,1087.18,-,-,NIFTY BANK
03-07-2000,-,-,-,1119.29,-,-,NIFTY BANK
04-07-2000,-,-,-,1135.06,-,-,NIFTY BANK
05-07-2000,-,-,-,1133.61,-,-,NIFTY BANK
06-07-2000,-,-,-,1123.2,-,-,NIFTY BANK
07-07-2000,-,-,-,1130.06,-,-,NIFTY BANK
10-07-2000,-,-,-,1110.67,-,-,NIFTY BANK
11-07-2000,-,-,-,1116.83,-,-,NIFTY BANK
12-07-2000,-,-,-,1108.72,-,-,NIFTY BANK
13-07-2000,-,-,-,1101.88,-,-,NIFTY BANK
14-07-2000,-,-,-,1095.11,-,-,NIFTY BANK
17-07-2000,-,-,-,1081.53,-,-,NIFTY BANK
18-07-2000,-,-,-,1090.71,-,-,NIFTY BANK
19-07-2000,-,-,-,1074.88,-,-,NIFTY BANK
20-07-2000,-,-,-,1053.89,-,-,NIFTY BANK
21-07-2000,-,-,-,1046.92,-,-,NIFTY BANK
24-07-2000,-,-,-,983.99,-,-,NIFTY BANK
25-07-2000,-,-,-,1010.99,-,-,NIFTY BANK
26-07-2000,-,-,-,994.13,-,-,NIFTY BANK
27-07-2000,-,-,-,999.76,-,-,NIFTY BANK
28-07-2000,-,-,-,1002.71,-,-,NIFTY BANK
31-07-2000,-,-,-,993.58,-,-,NIFTY BANK
01-08-2000,-,-,-,979.73,-,-,NIFTY BANK
02-08-2000,-,-,-,986.53,-,-,NIFTY BANK
03-08-2000,-,-,-,1006.1,-,-,NIFTY BANK
04-08-2000,-,-,-,1009.51,-,-,NIFTY BANK
07-08-2000,-,-,-,986.89,-,-,NIFTY BANK
08-08-2000,-,-,-,1017.43,-,-,NIFTY BANK
09-08-2000,-,-,-,1009.9,-,-,NIFTY BANK
10-08-2000,-,-,-,1001.34,-,-,NIFTY BANK
11-08-2000,-,-,-,994.6,-,-,NIFTY BANK
14-08-2000,-,-,-,991.83,-,-,NIFTY BANK
16-08-2000,-,-,-,1008.41,-,-,NIFTY BANK
17-08-2000,-,-,-,999.36,-,-,NIFTY BANK
18-08-2000,-,-,-,987.1,-,-,NIFTY BANK
21-08-2000,-,-,-,981.29,-,-,NIFTY BANK
22-08-2000,-,-,-,975.52,-,-,NIFTY BANK
23-08-2000,-,-,-,985.4,-,-,NIFTY BANK
24-08-2000,-,-,-,981.2,-,-,NIFTY BANK
25-08-2000,-,-,-,994.7,-,-,NIFTY BANK
28-08-2000,-,-,-,995.55,-,-,NIFTY BANK
29-08-2000,-,-,-,989.37,-,-,NIFTY BANK
30-08-2000,-,-,-,1006.13,-,-,NIFTY BANK
31-08-2000,-,-,-,1003.07,-,-,NIFTY BANK
04-09-2000,-,-,-,1015.61,-,-,NIFTY BANK
05-09-2000,-,-,-,1027.16,-,-,NIFTY BANK
06-09-2000,-,-,-,1036.57,-,-,NIFTY BANK
07-09-2000,-,-,-,1035.05,-,-,NIFTY BANK
08-09-2000,-,-,-,1044.64,-,-,NIFTY BANK
11-09-2000,-,-,-,1039.26,-,-,NIFTY BANK
12-09-2000,-,-,-,1029.97,-,-,NIFTY BANK
13-09-2000,-,-,-,997.74,-,-,NIFTY BANK
14-09-2000,-,-,-,987.66,-,-,NIFTY BANK
15-09-2000,-,-,-,959.49,-,-,NIFTY BANK
18-09-2000,-,-,-,920.64,-,-,NIFTY BANK
19-09-2000,-,-,-,938.91,-,-,NIFTY BANK
20-09-2000,-,-,-,945.15,-,-,NIFTY BANK
21-09-2000,-,-,-,937.44,-,-,NIFTY BANK
22-09-2000,-,-,-,908.28,-,-,NIFTY BANK
25-09-2000,-,-,-,925.06,-,-,NIFTY BANK
26-09-2000,-,-,-,917.41,-,-,NIFTY BANK
27-09-2000,-,-,-,915.51,-,-,NIFTY BANK
28-09-2000,-,-,-,901.51,-,-,NIFTY BANK
29-09-2000,-,-,-,907.53,-,-,NIFTY BANK
03-10-2000,-,-,-,892.85,-,-,NIFTY BANK
04-10-2000,-,-,-,890.22,-,-,NIFTY BANK
05-10-2000,-,-,-,870.77,-,-,NIFTY BANK
06-10-2000,-,-,-,866.04,-,-,NIFTY BANK
09-10-2000,-,-,-,870.42,-,-,NIFTY BANK
10-10-2000,-,-,-,852.46,-,-,NIFTY BANK
11-10-2000,-,-,-,850.27,-,-,NIFTY BANK
12-10-2000,-,-,-,859.34,-,-,NIFTY BANK
13-10-2000,-,-,-,856.54,-,-,NIFTY BANK
16-10-2000,-,-,-,860.21,-,-,NIFTY BANK
17-10-2000,-,-,-,851.15,-,-,NIFTY BANK
18-10-2000,-,-,-,844.74,-,-,NIFTY BANK
19-10-2000,-,-,-,857.21,-,-,NIFTY BANK
20-10-2000,-,-,-,857.09,-,-,NIFTY BANK
